address,zipcode,price,sqft,bedroom,bathroom,latitude,longitude,Property Type
"7 Wooster St   #3A, New York, NY 10013",10013,3250000,2007,3,3.0,40.721333,-74.00382,condo
"421 Hudson St #824, New York, NY 10014",10014,1800000,754,1,2.0,40.72988,-74.00732,condo
"445 Lafayette St   #9A, New York, NY 10003",10003,4500000,2248,3,3.0,40.7295,-73.9912,apartment
"18 Leonard St #1C, New York, NY 10013",10013,5250000,2964,3,3.0,40.718452,-74.007996,condo
"718 Broadway #5A, New York, NY 10003",10003,2100000,1405,2,2.0,40.72896,-73.99333,coop
"40-50 E  10th St   #4G, New York, NY 10003",10003,1595000,1100,1,2.0,40.732,-73.9925,coop
"65 Cooper Sq   #3G, New York, NY 10003",10003,1075000,708,1,2.0,40.7291,-73.9899,condo
"136 Baxter St #B, New York, NY 10013",10013,6250000,2748,3,3.0,40.718674,-73.99879,condo
"100 Franklin St   #2N, New York, NY 10013",10013,3625000,1880,3,3.0,40.7188,-74.0055,condo
"718 Broadway #4B, New York, NY 10003",10003,1695000,1350,2,1.0,40.72896,-73.99333,coop
"5 Franklin Pl #9D, New York, NY 10013",10013,3900000,1750,2,3.0,40.717842,-74.003685,condo
"21 E  12th St #10A, New York, NY 10003",10003,4350000,1478,2,3.0,40.734306,-73.99285,condo
"532 W  111th St #6, New York, NY 10025",10025,1495000,1500,3,2.0,40.804268,-73.96549,coop
"306 W  97th St #61, New York, NY 10025",10025,1495000,1253,3,2.0,40.79601,-73.97352,condo
"610 W  110th St   #7A, New York, NY 10025",10025,1840000,1452,2,2.0,40.8043,-73.9676,condo
"240 W  98th St #3G, New York, NY 10025",10025,1820000,1285,2,2.0,40.79589,-73.971535,condo
"400 Central Park W  #4E, New York, NY 10025",10025,650000,540,0,1.0,40.794224,-73.96369,condo
"924 W  End Ave #124, New York, NY 10025",10025,1995000,1800,3,2.0,40.80097,-73.96881,coop
"141 W  95th St, New York, NY 10025",10025,13000000,6000,5,6.0,40.792988,-73.96933,townhouse
"410 Central Park W  #5EF, New York, NY 10025",10025,1450000,1350,3,2.0,40.7948,-73.9628,coop
"382 Central Park W  #19A, New York, NY 10025",10025,1198000,845,1,1.0,40.79367,-73.96555,condo
"310 Riverside Dr #602, New York, NY 10025",10025,1499000,1100,2,2.0,40.800426,-73.97106,coop
"100 W  93rd St #11J, New York, NY 10025",10025,1495000,971,2,1.0,40.790775,-73.96937,condo
"400 Central Park W  #15S, New York, NY 10025",10025,725000,600,0,1.0,40.794125,-73.96352,condo
"639 W  End Ave #1C, New York, NY 10025",10025,629000,750,1,1.0,40.79238,-73.97572,coop
"251 W  98th St #7B, New york, NY 10025",10025,1775000,1269,2,2.0,40.79619,-73.971,condo
"360 Central Park W  #15A, New York, NY 10025",10025,3595000,1254,2,2.0,40.791504,-73.96503,condo
"2688 Broadway #12D, New York, NY 10025",10025,3995000,1934,3,4.0,40.79875,-73.968285,condo
"2688 Broadway #3A, New York, NY 10025",10025,1115000,621,1,1.0,40.79875,-73.968285,condo
"2688 Broadway #4H, New York, NY 10025",10025,2000000,1132,2,2.0,40.79875,-73.968285,condo
"126 W  95th St, New York, NY 10025",10025,7350000,3885,4,6.0,40.792454,-73.96924,single-family home
"310 W  97th St #34, New York, NY 10025",10025,1450000,1175,2,2.0,40.796055,-73.973625,condo
"392 Central Park W  #17S, New York, NY 10025",10025,785000,540,0,1.0,40.794712,-73.96539,condo
"370 Riverside Dr #3D, New York, NY 10025",10025,1695000,1600,3,3.0,40.804203,-73.96816,coop
"67 W  107th St #19, New York, NY 10025",10025,655000,532,2,1.0,40.799828,-73.961586,condo
"65 W  107th St #5B, New York, NY 10025",10025,750000,615,2,1.0,40.799778,-73.961464,condo
"1037 Shore Pkwy #1B, Brooklyn, NY 11228",11228,405000,800,2,1.0,40.603542,-74.01698,coop
"1238 79th St, Brooklyn, NY 11228",11228,898000,1232,3,1.0,40.618584,-74.01119,single-family home
"137 Bay 7th St, Brooklyn, NY 11228",11228,1220000,1980,3,2.0,40.609406,-74.01361,multi-family
